CONTAINER,CASES,QTY,SKUs,FFW,OCEAN/TL,40/45/53,PL,CARRIER,Live,SCHEDULED DATE,SCHEDULED TIME,ARRIVAL DATE,ARRIVAL TIME,TEAM SIZE,UNLOAD DATE,BLDG,UNLOAD START,UNLOAD FINISH,UNLOAD MINS,Unload for avs,Cases Per Person  Per Minute,RESTACK START,RESTACK FINISH,D2S START,D2S FINISH,DAMAGED PRODUCT,TOTAL PALLETS,DAMAGED PALLETS
OOLU8365830,1658,36121,21,Fedex,Ocean,40' HQ Container,Yes,,,4/25/2017,,4/25/2017,,5,4/25/2017,,,,0,,,,,,,0,,0
TGHU9822720,1025,42350,8,Fedex,Ocean,40' HQ Container,Yes,,,4/25/2017,,4/25/2017,,4,4/25/2017,,,,0,,,,,,,0,,0
YMLU8759173,683,30082,10,SBA Global,Transload,53' Trailer,Yes,,,4/26/2017,,4/26/2017,,5,4/26/2017,,,,0,,,,,,,0,,0
TCNU4771362,347,31230,4,SBA Global,Transload,53' Trailer,No,,,4/26/2017,,4/26/2017,,5,4/26/2017,,,,0,,,,,,,0,,0
TCNU6049683,419,33520,1,Fedex,Ocean,40' HQ Container,Yes,,,4/26/2017,,4/26/2017,,5,4/26/2017,,,,0,,,,,,,0,,0
MAGU5511380,779,24264,6,SBA Global,Transload,53' Trailer,No,,,4/27/2017,,4/27/2017,,5,4/27/2017,,,,0,,,,,,,0,,0
TCLU5598465,937,33732,1,SBA Global,Transload,53' Trailer,No,,,4/27/2017,,4/27/2017,,5,4/27/2017,,,,0,,,,,,,0,,0
YMMU4058121,1000,15000,3,SBA Global,Transload,53' Trailer,No,,,4/28/2017,,4/28/2017,,4,4/28/2017,,,,0,,,,,,,0,,0
TGHU5284057,1218,19470,6,SBA Global,Transload,53' Trailer,No,,,4/28/2017,,4/28/2017,,3,4/28/2017,,,,0,,,,,,,0,,0
YMLU8942163,793,30472,17,SBA Global,Transload,53' Trailer,Yes,,,5/1/2017,,5/1/2017,,4,5/1/2017,,,,0,,,,,,,0,,0
TCLU1480094,659,27979,60,Fedex,Ocean,40' HQ Container,Yes,,,5/2/2017,,5/2/2017,,5,5/2/2017,,,,0,,,,,,,0,,0
OOLU9771768,430,28670,67,Fedex,Ocean,40' HQ Container,Yes,,,5/2/2017,,5/2/2017,,5,5/2/2017,,,,0,,,,,,,0,,0
FSCU5126074,1350,21390,4,SBA Global,Transload,53' Trailer,No,,,5/3/2017,,5/3/2017,,5,5/3/2017,,,,0,,,,,,,0,,0
TCNU3063610,1360,29664,2,SBA Global,Transload,53' Trailer,No,,,5/4/2017,,5/4/2017,,5,5/4/2017,,,,0,,,,,,,0,,0
TCNU7566839,1975,23700,1,SBA Global,Transload,53' Trailer,No,,,5/4/2017,,5/4/2017,,5,5/4/2017,,,,0,,,,,,,0,,0
SEGU4569170,1818,32600,8,SBA Global,Transload,53' Trailer,Yes,,,5/5/2017,,5/5/2017,,5,5/5/2017,,,,0,,,,,,,0,,0
SEGU5640550,918,28695,16,SBA Global,Transload,53' Trailer,No,,,5/5/2017,,5/5/2017,,5,5/5/2017,,,,0,,,,,,,0,,0
UNIU0500276,1428,33762,10,SBA Global,Transload,53' Trailer,Yes,,,5/11/2017,,5/11/2017,,5,5/11/2017,,,,0,,,,,,,0,,0
OOLU8928940,439,37950,21,Fedex,Ocean,40' HQ Container,Yes,,,5/12/2017,,5/12/2017,,5,5/12/2017,,,,0,,,,,,,0,,0
BMOU6327986,1975,23700,1,SBA Global,Transload,53' Trailer,No,,,5/12/2017,,5/12/2017,,5,5/12/2017,,,,0,,,,,,,0,,0
FSCU8123844,1352,14424,7,Fedex,Ocean,40' HQ Container,No,,,5/15/2017,,5/15/2017,,5,5/15/2017,,,,0,,,,,,,0,,0
YMLU9540699,1097,27828,4,SBA Global,Transload,53' Trailer,No,,,5/15/2017,,5/15/2017,,5,5/15/2017,,,,0,,,,,,,0,,0
OOLU8799945,670,28016,3,Fedex,Ocean,40' HQ Container,Yes,,,5/15/2017,,5/15/2017,,3,5/15/2017,,,,0,,,,,,,0,,0
BMOU6315970,1975,23700,1,SBA Global,Transload,53' Trailer,No,,,5/15/2017,,5/15/2017,,3,5/15/2017,,,,0,,,,,,,0,,0
YMLU9544837,1862,31749,9,SBA Global,Transload,53' Trailer,No,,,5/16/2017,,5/16/2017,,4,5/16/2017,,,,0,,,,,,,0,,0
